FIRST,LAST,NICKNAME,URL,FIGHTER,HEIGHT,WEIGHT,REACH,STANCE,DOB
Damian,Stasiak,Webster,http://ufcstats.com/fighter-details/42a7e90605df3c8a,Damian Stasiak,"5' 5""",135 lbs.,"70""",Orthodox,1990-02-20
Caolan,Loughran,The Don,http://ufcstats.com/fighter-details/42ac4020cba261ad,Caolan Loughran,"5' 6""",135 lbs.,"68""",Orthodox,1996-05-18
Kultar,Gill,Black Mamba,http://ufcstats.com/fighter-details/42c96a9c4802e2e1,Kultar Gill,"6' 0""",154 lbs.,,Orthodox,1979-03-24
Bart,Palaszewski,Bartimus,http://ufcstats.com/fighter-details/4304992c2acc187b,Bart Palaszewski,"5' 9""",145 lbs.,"70""",Orthodox,1983-05-30
Patricia,Alujas,The Angel,http://ufcstats.com/fighter-details/430c533614d45813,Patricia Alujas,"5' 4""",115 lbs.,"64""",Orthodox,1996-05-08
Steve,Ramirez,,http://ufcstats.com/fighter-details/4311e9d23604205c,Steve Ramirez,"5' 7""",125 lbs.,,,
Jair,Farias,Chosen,http://ufcstats.com/fighter-details/431262bbc69215dc,Jair Farias,"6' 1""",145 lbs.,"76""",Orthodox,1993-03-16
Louis Lee,Scott,Lightning,http://ufcstats.com/fighter-details/4327506eb9ee342f,Louis Lee Scott,,135 lbs.,,,2000-02-26
Georgi,Karakhanyan,Insane,http://ufcstats.com/fighter-details/43292ecf0e72c143,Georgi Karakhanyan,"5' 8""",145 lbs.,,,1985-05-29
Brogan,Walker,The Bear,http://ufcstats.com/fighter-details/4333a8e70a672eb7,Brogan Walker,"5' 4""",125 lbs.,"67""",Switch,1988-08-02
Cyrille,Diabate,The Snake,http://ufcstats.com/fighter-details/43563a32c3f10e95,Cyrille Diabate,"6' 6""",205 lbs.,"81""",Southpaw,1973-10-06
Steve,Byrnes,The Sergeant,http://ufcstats.com/fighter-details/43612456979e5d5e,Steve Byrnes,"6' 0""",170 lbs.,,Orthodox,
Yokthai,Sithoar,,http://ufcstats.com/fighter-details/436cdea7bdfdc016,Yokthai Sithoar,"5' 7""",143 lbs.,,,1974-12-25
Gabriel,Benitez,Moggly,http://ufcstats.com/fighter-details/436f970c9ea9169c,Gabriel Benitez,"5' 8""",155 lbs.,"71""",Southpaw,1988-06-15
Kevin,Haley,The North Woods Nightmare,http://ufcstats.com/fighter-details/439d4bbefd4e6940,Kevin Haley,"6' 2""",205 lbs.,,,
,Mizuki,,http://ufcstats.com/fighter-details/43a59ce3bb40449e,Mizuki,"5' 3""",115 lbs.,"65""",Orthodox,1994-08-19
Rilley,Dutro,,http://ufcstats.com/fighter-details/43db649da89fac4b,Rilley Dutro,"5' 8""",125 lbs.,,Orthodox,1987-09-03
Artem,Vakhitov,,http://ufcstats.com/fighter-details/43e549b803ec7375,Artem Vakhitov,"6' 1""",205 lbs.,"75""",Orthodox,1991-04-04
Maria,Silva,Viuva Negra,http://ufcstats.com/fighter-details/4408865b4e65e374,Maria Silva,"5' 3""",115 lbs.,"64""",Orthodox,1995-12-19
Paul,Herrera,The Bone Crusher,http://ufcstats.com/fighter-details/440c9dbab63528fb,Paul Herrera,"5' 10""",185 lbs.,,Orthodox,
Reuben,Duran,,http://ufcstats.com/fighter-details/4417980b3e798abf,Reuben Duran,"5' 7""",135 lbs.,"71""",Orthodox,1983-07-02
Augusto,Sakai,,http://ufcstats.com/fighter-details/441eacbe20e0e80b,Augusto Sakai,"6' 3""",265 lbs.,"77""",Orthodox,1991-05-09
Jens,Pulver,Little Evil,http://ufcstats.com/fighter-details/44260175069b6276,Jens Pulver,"5' 7""",145 lbs.,"70""",Southpaw,1974-12-06
Ian,Machado Garry,The Future,http://ufcstats.com/fighter-details/442c9011034ae1fd,Ian Machado Garry,"6' 3""",170 lbs.,"74""",Orthodox,1997-11-17
Travis,Johnson,,http://ufcstats.com/fighter-details/443835675e8fc6ca,Travis Johnson,,205 lbs.,,,
Jaime,Alvarez,,http://ufcstats.com/fighter-details/4438482bd1d5a029,Jaime Alvarez,"5' 8""",125 lbs.,"69""",Orthodox,1988-03-08
Michael,McBride,,http://ufcstats.com/fighter-details/443f60bec7c3c3d5,Michael McBride,"6' 1""",155 lbs.,,Orthodox,1986-03-09
Katsunori,Kikuno,,http://ufcstats.com/fighter-details/44470bfd9483c7ad,Katsunori Kikuno,"5' 8""",145 lbs.,"66""",Orthodox,1981-10-31
Falaniko,Vitale,Niko,http://ufcstats.com/fighter-details/445a98acb8985970,Falaniko Vitale,"5' 10""",185 lbs.,,Orthodox,1974-07-14
Tatsuro,Taira,,http://ufcstats.com/fighter-details/4461d7e47375a895,Tatsuro Taira,"5' 7""",125 lbs.,"70""",Orthodox,2000-01-27
Muslim,Salikhov,King of Kung Fu,http://ufcstats.com/fighter-details/447f9858ae78f921,Muslim Salikhov,"5' 11""",170 lbs.,"70""",Orthodox,1984-06-09
Roxanne,Modafferi,The Happy Warrior,http://ufcstats.com/fighter-details/4498b382c65a7faa,Roxanne Modafferi,"5' 7""",125 lbs.,"69""",Orthodox,1982-09-24
Hector,Sandoval,Kid Alex,http://ufcstats.com/fighter-details/449c890bd90f3374,Hector Sandoval,"5' 2""",125 lbs.,"64""",Orthodox,1986-07-19
Jeri,Sitzes,,http://ufcstats.com/fighter-details/44a1dd0ef4373edc,Jeri Sitzes,"5' 5""",125 lbs.,,,
Gleidson,Cutis,Poney,http://ufcstats.com/fighter-details/44a94bbde42246e4,Gleidson Cutis,"5' 9""",155 lbs.,,Orthodox,1989-02-07
Marcelo,Aguiar,,http://ufcstats.com/fighter-details/44aa652b181bcf68,Marcelo Aguiar,"5' 10""",170 lbs.,,Orthodox,
Renee,Forte,,http://ufcstats.com/fighter-details/44bc27bfa76dcd9e,Renee Forte,"5' 7""",155 lbs.,"71""",Orthodox,1987-03-27
Shingo,Kohara,,http://ufcstats.com/fighter-details/44c233770075cea1,Shingo Kohara,"5' 6""",135 lbs.,,,
Mario,Piazzon,,http://ufcstats.com/fighter-details/44f234a36324e6c8,Mario Piazzon,"5' 9""",265 lbs.,"73""",Orthodox,1998-04-06
Daniel,Pereira,Gaucho,http://ufcstats.com/fighter-details/44f46b0592ca0814,Daniel Pereira,"5' 10""",185 lbs.,,,1990-12-13
Frank,Caracci,,http://ufcstats.com/fighter-details/44f9c777fed7ca03,Frank Caracci,,,,,
Pawan,Maan,,http://ufcstats.com/fighter-details/450bacdacd706bcd,Pawan Maan,"5' 7""",155 lbs.,"70""",Orthodox,1986-04-06
Pedro,Otavio,Te Pedro,http://ufcstats.com/fighter-details/4512e46543b960ad,Pedro Otavio,"6' 3""",245 lbs.,,Orthodox,
Leonardo,Morales,Chimy,http://ufcstats.com/fighter-details/45230be0641f3f53,Leonardo Morales,"5' 8""",135 lbs.,,Southpaw,1992-12-22
Ron,Faircloth,,http://ufcstats.com/fighter-details/453ee00c3e1ae9dd,Ron Faircloth,"5' 9""",205 lbs.,,Orthodox,1979-08-16
Armando,Villarreal,La Lumbre,http://ufcstats.com/fighter-details/454c1f0b638972ab,Armando Villarreal,"5' 7""",135 lbs.,"66""",Southpaw,1989-08-08
Joe,Duarte,,http://ufcstats.com/fighter-details/454c3e9d4cd4a1b3,Joe Duarte,,155 lbs.,,,1977-01-25
Minoki,Ichihara,,http://ufcstats.com/fighter-details/4565d435005319c0,Minoki Ichihara,"5' 7""",178 lbs.,,Orthodox,
Bruno,Carvalho,,http://ufcstats.com/fighter-details/456c02115efc4a01,Bruno Carvalho,"5' 8""",154 lbs.,,,1982-06-07
Jason,Novelli,Flipside,http://ufcstats.com/fighter-details/459e4dc69ec669b2,Jason Novelli,"6' 0""",155 lbs.,,Orthodox,1979-06-08
Henry,Miller,Sentoryu,http://ufcstats.com/fighter-details/45a2ba3ef82b9700,Henry Miller,"5' 7""",270 lbs.,,Southpaw,1969-07-16
Ivan,Valenzuela,Bam Bam,http://ufcstats.com/fighter-details/45b82ebf0b9e0fd2,Ivan Valenzuela,"6' 2""",185 lbs.,"77""",Orthodox,1992-11-17
Jordan,Radev,,http://ufcstats.com/fighter-details/45bc8f98d62bd096,Jordan Radev,"5' 7""",185 lbs.,,Southpaw,1976-09-28
Sovannahry,Em,The Sweet Savage,http://ufcstats.com/fighter-details/45c8fed13a62fe92,Sovannahry Em,"5' 4""",135 lbs.,,,1992-06-26
Timur,Valiev,Lucky,http://ufcstats.com/fighter-details/45e738622ea2c02c,Timur Valiev,"5' 6""",135 lbs.,"67""",Orthodox,1990-01-19
Chris,Gutierrez,El Guapo,http://ufcstats.com/fighter-details/45f0cc9d18f35137,Chris Gutierrez,"5' 9""",135 lbs.,"67""",Orthodox,1991-04-22
Sean,Brady,,http://ufcstats.com/fighter-details/45f7cb591c3ab00b,Sean Brady,"5' 10""",170 lbs.,"72""",Orthodox,1992-11-23
Andre,Galvao,,http://ufcstats.com/fighter-details/45fe6765c56d8018,Andre Galvao,"5' 7""",168 lbs.,,Orthodox,1982-09-29
Mark,Robinson,White Rhino,http://ufcstats.com/fighter-details/4604ab1de9058474,Mark Robinson,"6' 0""",265 lbs.,,Orthodox,
Masio,Fullen,Lobo,http://ufcstats.com/fighter-details/4638cc6479cc0afe,Masio Fullen,"5' 10""",145 lbs.,"70""",Orthodox,1986-10-06
Chris,Avila,,http://ufcstats.com/fighter-details/4665cbf36b08193b,Chris Avila,"5' 10""",145 lbs.,,Orthodox,1993-01-16
Shinsho,Anzai,Animal,http://ufcstats.com/fighter-details/4665f9f909cd7214,Shinsho Anzai,"5' 7""",170 lbs.,"70""",Orthodox,1985-12-01
Yuri,Vaulin,,http://ufcstats.com/fighter-details/4679a38cced7c64a,Yuri Vaulin,"6' 4""",197 lbs.,,Southpaw,
Sean,Woodson,The Sniper,http://ufcstats.com/fighter-details/4682bc59d5f55145,Sean Woodson,"6' 2""",145 lbs.,"78""",Orthodox,1992-06-07
Gokhan,Saki,The Rebel,http://ufcstats.com/fighter-details/4690d47bf725fd98,Gokhan Saki,"6' 0""",205 lbs.,"73""",Orthodox,1983-10-19
Hugo,Cunha,Silverback,http://ufcstats.com/fighter-details/46a17755f80f63e8,Hugo Cunha,"6' 3""",263 lbs.,"79""",Orthodox,1993-02-04
Valerie,Letourneau,Trouble,http://ufcstats.com/fighter-details/46a2f24feb258ae0,Valerie Letourneau,"5' 7""",115 lbs.,"68""",Orthodox,1983-04-29
Joey,Beltran,The Mexicutioner,http://ufcstats.com/fighter-details/46baf0f57edfa4df,Joey Beltran,"6' 1""",185 lbs.,"75""",Orthodox,1981-12-08
Patrick,Smith,,http://ufcstats.com/fighter-details/46c8ec317aff28ac,Patrick Smith,"6' 2""",225 lbs.,,Orthodox,1963-08-28
Brent,Primus,,http://ufcstats.com/fighter-details/46caf130099206cd,Brent Primus,"5' 10""",155 lbs.,,,1985-04-12
Abu,Azaitar,Captain Morocco,http://ufcstats.com/fighter-details/46d0a888d87d91ac,Abu Azaitar,"5' 9""",185 lbs.,"76""",Orthodox,1986-03-10
Miles,Johns,Chapo,http://ufcstats.com/fighter-details/46e0d677f91bacc0,Miles Johns,"5' 7""",135 lbs.,"66""",Orthodox,1994-03-30
Oumar,Sy,,http://ufcstats.com/fighter-details/46e2011d92463b7e,Oumar Sy,"6' 4""",205 lbs.,"83""",Orthodox,1995-11-21
Reese,Andy,Riptide,http://ufcstats.com/fighter-details/46e2ca71fd5089cb,Reese Andy,"6' 0""",205 lbs.,,Orthodox,1973-03-31
Sean,O'Haire,,http://ufcstats.com/fighter-details/46effbd1135423c5,Sean O'Haire,"6' 5""",270 lbs.,,Orthodox,1971-02-25
Larry,Cureton,,http://ufcstats.com/fighter-details/46f11d15c0134fe3,Larry Cureton,"6' 2""",240 lbs.,,Orthodox,
Richard,Jacobi,,http://ufcstats.com/fighter-details/46f557bd44da630e,Richard Jacobi,"6' 4""",260 lbs.,"75""",Orthodox,1993-09-28
Ryan,Couture,,http://ufcstats.com/fighter-details/46fd223e3ced39b3,Ryan Couture,"5' 10""",155 lbs.,"73""",Orthodox,1982-08-27
Daniel,Omielanczuk,,http://ufcstats.com/fighter-details/470fedbc8563ac47,Daniel Omielanczuk,"6' 0""",247 lbs.,"74""",Southpaw,1982-08-31
Kiefer,Crosbie,BDK,http://ufcstats.com/fighter-details/4729c93ba705a3bf,Kiefer Crosbie,"5' 11""",170 lbs.,"70""",Switch,1990-04-05
Barb,Honchak,Little Warrior,http://ufcstats.com/fighter-details/472f6f6e6d962f40,Barb Honchak,"5' 4""",125 lbs.,"65""",Orthodox,1979-08-30
Dan,Hardy,The Outlaw,http://ufcstats.com/fighter-details/473ce3aa581251a2,Dan Hardy,"6' 0""",170 lbs.,"74""",Orthodox,1982-05-17
Andy,Wang,,http://ufcstats.com/fighter-details/476414d2f18cd059,Andy Wang,"5' 6""",155 lbs.,,Orthodox,1977-05-28
Modestas,Bukauskas,The Baltic Gladiator,http://ufcstats.com/fighter-details/476fe566d2df676e,Modestas Bukauskas,"6' 3""",205 lbs.,"78""",Switch,1994-02-10
Janaina,Silva,Jana-Iron-Hand,http://ufcstats.com/fighter-details/4784a5b4a452464a,Janaina Silva,"5' 1""",115 lbs.,"60""",Orthodox,1992-02-16
Tatsuya,Mizuno,,http://ufcstats.com/fighter-details/478c8706bdb92440,Tatsuya Mizuno,"6' 1""",205 lbs.,,Southpaw,1981-06-02
Jeremy,Umphries,,http://ufcstats.com/fighter-details/4793a2d90f5ab8ae,Jeremy Umphries,,160 lbs.,,,
Veronica,Hardy,,http://ufcstats.com/fighter-details/4798e823ada58fe9,Veronica Hardy,"5' 4""",125 lbs.,"64""",Southpaw,1995-10-30
Rose,Namajunas,Thug,http://ufcstats.com/fighter-details/47b63240018d5d86,Rose Namajunas,"5' 5""",125 lbs.,"65""",Orthodox,1992-06-29
Shungo,Oyama,,http://ufcstats.com/fighter-details/47b7e4e60813b7b2,Shungo Oyama,"5' 11""",185 lbs.,,Southpaw,1974-04-11
Jorge,Masvidal,Gamebred,http://ufcstats.com/fighter-details/47b9e0e7703a4868,Jorge Masvidal,"5' 11""",170 lbs.,"74""",Orthodox,1984-11-12
Zak,Ottow,The Barbarian,http://ufcstats.com/fighter-details/47cd337b86b1af92,Zak Ottow,"5' 11""",170 lbs.,"72""",Orthodox,1986-12-22
Logan,Nail,,http://ufcstats.com/fighter-details/47e0b5833e6bc91a,Logan Nail,,185 lbs.,,,1989-06-20
Elias,Urbina,,http://ufcstats.com/fighter-details/47fcdcaccb58ca80,Elias Urbina,"6' 3""",185 lbs.,"77""",Southpaw,1993-10-09
Mairon,Santos,The Legend,http://ufcstats.com/fighter-details/480779d7f9a424d3,Mairon Santos,"5' 7""",145 lbs.,"72""",Orthodox,2000-06-10
Dan,Cramer,,http://ufcstats.com/fighter-details/480b702debcb5433,Dan Cramer,"6' 2""",170 lbs.,,Orthodox,1985-10-31
Norifumi,Yamamoto,Kid,http://ufcstats.com/fighter-details/4834ff149dc9542a,Norifumi Yamamoto,"5' 4""",135 lbs.,"66""",Southpaw,1977-03-15
Deron,Winn,,http://ufcstats.com/fighter-details/483a953b18d73bb3,Deron Winn,"5' 6""",185 lbs.,"70""",Orthodox,1989-06-13
Alan,Hiro,Yamaniha,http://ufcstats.com/fighter-details/483b3170b3c05cf0,Alan Hiro,"5' 5""",135 lbs.,,Orthodox,1986-04-04
Ben,Saunders,Killa B,http://ufcstats.com/fighter-details/484acc7b0f856ce9,Ben Saunders,"6' 2""",170 lbs.,"77""",Orthodox,1983-04-13
Cory,Devela,The One,http://ufcstats.com/fighter-details/48544433372ecfa6,Cory Devela,"5' 0""",185 lbs.,,Orthodox,
Junya,Kudo,,http://ufcstats.com/fighter-details/487c170da059857d,Junya Kudo,,135 lbs.,,Orthodox,
Mateus,Mendonca,Bocao,http://ufcstats.com/fighter-details/48812daf291a4e23,Mateus Mendonca,"5' 6""",125 lbs.,"71""",Orthodox,1999-01-17
Alexandru,Lungu,,http://ufcstats.com/fighter-details/4887e5bc4dbb73ff,Alexandru Lungu,"6' 0""",385 lbs.,,Orthodox,1974-09-03
David,Gomez,,http://ufcstats.com/fighter-details/489413d3be819647,David Gomez,,155 lbs.,,,1983-08-08
Elves,Brener,,http://ufcstats.com/fighter-details/48a9a128784d53d1,Elves Brener,"5' 10""",155 lbs.,"72""",Orthodox,1997-09-27
Chael,Sonnen,,http://ufcstats.com/fighter-details/48d1f690b763934c,Chael Sonnen,"6' 1""",205 lbs.,"73""",Southpaw,1977-04-03
Takeya,Mizugaki,,http://ufcstats.com/fighter-details/48e093ea1f43a053,Takeya Mizugaki,"5' 7""",135 lbs.,"69""",Orthodox,1983-12-16
Josh,Clopton,The Gentleman,http://ufcstats.com/fighter-details/48e96d9cea6d4ab0,Josh Clopton,"5' 6""",145 lbs.,,Orthodox,1981-07-11
Brad,Imes,Hillbilly Heartthrob,http://ufcstats.com/fighter-details/4908c5ee68a50ee5,Brad Imes,"6' 7""",265 lbs.,,Orthodox,1977-03-13
Will,Santiago,The Brown Bomber,http://ufcstats.com/fighter-details/4920292f5d9b76df,Will Santiago,"5' 7""",185 lbs.,,Orthodox,1983-02-08
Fabricio,Werdum,Vai Cavalo,http://ufcstats.com/fighter-details/492b202d2064e7a9,Fabricio Werdum,"6' 4""",231 lbs.,"77""",Orthodox,1977-07-30
Ravena,Oliveira,Kenoudy,http://ufcstats.com/fighter-details/4948e412fa6ab67d,Ravena Oliveira,"5' 5""",115 lbs.,"65""",Orthodox,1997-02-20
Brendan,O'Reilly,Badger,http://ufcstats.com/fighter-details/494b0bfdbac74502,Brendan O'Reilly,"5' 7""",170 lbs.,"69""",Orthodox,1987-06-24
Yazan,Hajeh,Yazzle Dazzle,http://ufcstats.com/fighter-details/4955c524c2a71469,Yazan Hajeh,"5' 9""",145 lbs.,,Orthodox,1992-09-04
Hans,Nijman,,http://ufcstats.com/fighter-details/4956f60b7fa57c1a,Hans Nijman,"6' 0""",250 lbs.,,Switch,1959-10-23
David,Levicki,,http://ufcstats.com/fighter-details/49590e0508b2c19f,David Levicki,"6' 5""",275 lbs.,,,
Cheyanne,Vlismas,The Warrior Princess,http://ufcstats.com/fighter-details/4959f10a62f3fec3,Cheyanne Vlismas,"5' 3""",115 lbs.,"63""",Switch,1995-06-25
Gennaro,Strangis,,http://ufcstats.com/fighter-details/495add4fbede0a44,Gennaro Strangis,,,,,
Jason,Brilz,Hitman,http://ufcstats.com/fighter-details/497ba5b12a4bfc47,Jason Brilz,"5' 11""",205 lbs.,"71""",Orthodox,1975-07-07
Jackie,Lee,,http://ufcstats.com/fighter-details/4985113c0928aa62,Jackie Lee,,,,,
Nordine,Taleb,,http://ufcstats.com/fighter-details/49858bf46dabf6fb,Nordine Taleb,"6' 1""",170 lbs.,"74""",Orthodox,1981-06-10
Ron,Henderson,,http://ufcstats.com/fighter-details/498f0d066396ec59,Ron Henderson,"5' 10""",125 lbs.,,,
Neil,Seery,2Tap,http://ufcstats.com/fighter-details/49a74b9fb2e45fdf,Neil Seery,"5' 4""",125 lbs.,"64""",Orthodox,1979-08-30
Sarah,Alpar,Too Sweet,http://ufcstats.com/fighter-details/49b130de1da2e1bf,Sarah Alpar,"5' 4""",135 lbs.,"63""",Southpaw,1991-06-01
Louis,Taylor,Handgunz,http://ufcstats.com/fighter-details/49bddfee9ed54cf3,Louis Taylor,"5' 11""",185 lbs.,,Orthodox,1979-05-12
Justin,McElfresh,,http://ufcstats.com/fighter-details/49c29e57d4e2be6f,Justin McElfresh,"6' 6""",205 lbs.,,Orthodox,1980-01-04
Chance,Farrar,,http://ufcstats.com/fighter-details/49c7236c737d7e59,Chance Farrar,"5' 9""",145 lbs.,,Southpaw,1975-09-11
Nursulton,Ruziboev,Black,http://ufcstats.com/fighter-details/49d2a08964c5eb11,Nursulton Ruziboev,"6' 5""",170 lbs.,"76""",Orthodox,1993-11-19
Greg,Rebello,Ribz,http://ufcstats.com/fighter-details/49d78120e0a4f607,Greg Rebello,"6' 0""",240 lbs.,"73""",Southpaw,1982-06-13
Ashiek,Ajim,Peak Physique,http://ufcstats.com/fighter-details/49dea784f6cfed71,Ashiek Ajim,"5' 8""",135 lbs.,"71""",Switch,1994-06-19
Eddie,Mendez,,http://ufcstats.com/fighter-details/49e49b54e5901d0d,Eddie Mendez,"5' 10""",185 lbs.,,,1984-01-16
Tadao,Yasuda,,http://ufcstats.com/fighter-details/49e7e05f902479ca,Tadao Yasuda,"6' 4""",310 lbs.,,Orthodox,1963-10-09
Tyson,Pedro,,http://ufcstats.com/fighter-details/49e96ff8ab781589,Tyson Pedro,"6' 3""",205 lbs.,"79""",Orthodox,1991-09-17
Brendson,Ribeiro,The Gorilla,http://ufcstats.com/fighter-details/49edd0d90f60fb7d,Brendson Ribeiro,"6' 3""",205 lbs.,"81""",Orthodox,1996-09-08
Mounir,Lazzez,The Sniper,http://ufcstats.com/fighter-details/49ee5024966efc0d,Mounir Lazzez,"6' 1""",170 lbs.,"76""",Orthodox,1987-11-16
Icho,Larenas,,http://ufcstats.com/fighter-details/49efbdc6c9f650c4,Icho Larenas,"6' 3""",235 lbs.,,Orthodox,1980-03-12
Masuto,Kawana,Mast,http://ufcstats.com/fighter-details/49f4171f14f54220,Masuto Kawana,"5' 6""",145 lbs.,"69""",Orthodox,1995-01-30
David,Michaud,BullDawg,http://ufcstats.com/fighter-details/49f4b511932f71e9,David Michaud,"5' 9""",155 lbs.,,Orthodox,1988-11-10
Cesar,Arzamendia,Goku,http://ufcstats.com/fighter-details/49f78022126bf4a4,Cesar Arzamendia,"5' 11""",155 lbs.,,Orthodox,1991-01-31
John,Lewis,,http://ufcstats.com/fighter-details/4a01dc8376736ef5,John Lewis,"6' 0""",155 lbs.,,Southpaw,
Juancamilo,Ronderos,100,http://ufcstats.com/fighter-details/4a043165cf47cab2,Juancamilo Ronderos,"5' 3""",125 lbs.,"64""",Southpaw,1995-02-17
Seokhyeon,Ko,The Korean Tyson,http://ufcstats.com/fighter-details/4a07b1988477502c,Seokhyeon Ko,"5' 10""",170 lbs.,"71""",Southpaw,1993-09-24
Maximo,Blanco,Maxi,http://ufcstats.com/fighter-details/4a1329cc8eb0928a,Maximo Blanco,"5' 8""",145 lbs.,"71""",Orthodox,1983-10-16
Anvar,Boynazarov,The Uzbek,http://ufcstats.com/fighter-details/4a191f4ea2fce7fc,Anvar Boynazarov,"5' 9""",145 lbs.,,Orthodox,1989-01-10
Andy,Uhrich,,http://ufcstats.com/fighter-details/4a1a492f299581d9,Andy Uhrich,"6' 0""",170 lbs.,,,
Stephen,Thompson,Wonderboy,http://ufcstats.com/fighter-details/4a28cb716c19157a,Stephen Thompson,"6' 0""",170 lbs.,"75""",Orthodox,1983-02-11
Dennis,Reed,,http://ufcstats.com/fighter-details/4a35913bd9aa4161,Dennis Reed,,205 lbs.,,Orthodox,
Justin,Wilcox,Silverback,http://ufcstats.com/fighter-details/4a482a0100cfcd0a,Justin Wilcox,"5' 6""",155 lbs.,,Orthodox,1979-03-12
Randa,Markos,Quiet Storm,http://ufcstats.com/fighter-details/4a57ebb14315b251,Randa Markos,"5' 4""",115 lbs.,"63""",Orthodox,1985-08-10
Aleksandre,Topuria,El Cazador,http://ufcstats.com/fighter-details/4a6dff1b260bcf61,Aleksandre Topuria,,135 lbs.,,,1996-01-28
Joe,Hernandez,,http://ufcstats.com/fighter-details/4a76daef28549957,Joe Hernandez,,,,,
Jinnosuke,Kashimura,,http://ufcstats.com/fighter-details/4a9120fa47bafef0,Jinnosuke Kashimura,"5' 7""",155 lbs.,"71""",Southpaw,2001-08-12
Ricky,Camp,2 Slick,http://ufcstats.com/fighter-details/4a99978a0366bb29,Ricky Camp,"5' 7""",135 lbs.,,,
Rolando,Perez,,http://ufcstats.com/fighter-details/4a9e305633f3ef47,Rolando Perez,"5' 8""",135 lbs.,,Orthodox,
Matthew,Semelsberger,Semi The Jedi,http://ufcstats.com/fighter-details/4aa58269d0664b5b,Matthew Semelsberger,"6' 1""",170 lbs.,"75""",Switch,1992-11-23
Christian,Lohsen,Hollywood,http://ufcstats.com/fighter-details/4ab36d70d1b28b58,Christian Lohsen,"6' 2""",155 lbs.,"77""",Southpaw,1995-01-24
Jason,Saggo,,http://ufcstats.com/fighter-details/4ac1ecf8ce59ef23,Jason Saggo,"5' 11""",155 lbs.,"71""",Orthodox,1985-11-23
Maurice,Eazel,,http://ufcstats.com/fighter-details/4acb99524a9a81ab,Maurice Eazel,"5' 7""",135 lbs.,,,
Kyle,Noblitt,,http://ufcstats.com/fighter-details/4acf03bdec2025d7,Kyle Noblitt,"6' 2""",243 lbs.,,,1989-12-26
Alexis,Dufresne,Sneaky Zebra,http://ufcstats.com/fighter-details/4ae4049426e0161d,Alexis Dufresne,"5' 9""",135 lbs.,,Orthodox,1990-08-31
Jamie,Houston,,http://ufcstats.com/fighter-details/4b1896310a907656,Jamie Houston,,185 lbs.,,,
Alberto,Mina,Soldier of God,http://ufcstats.com/fighter-details/4b1d46a1b5c0fd11,Alberto Mina,"6' 0""",170 lbs.,"77""",Orthodox,1982-05-02
Naoya,Ogawa,,http://ufcstats.com/fighter-details/4b2390cfaceb91d8,Naoya Ogawa,"6' 4""",255 lbs.,,Orthodox,1968-03-31
Pablo,Alfonso,The Hurricane,http://ufcstats.com/fighter-details/4b37a0bc2ab4cae1,Pablo Alfonso,"5' 8""",145 lbs.,,,1983-05-09
Angel,De Anda,The Dream,http://ufcstats.com/fighter-details/4b450aa602611baa,Angel De Anda,"5' 9""",225 lbs.,,Orthodox,1985-05-28
Anthony,Perosh,The Hippo,http://ufcstats.com/fighter-details/4b4753d19489297f,Anthony Perosh,"6' 3""",205 lbs.,"75""",Orthodox,1972-10-05
Tim,Means,The Dirty Bird,http://ufcstats.com/fighter-details/4b47e71384a9522f,Tim Means,"6' 2""",170 lbs.,"75""",Orthodox,1984-02-20
Israel,Giron,El Rojo,http://ufcstats.com/fighter-details/4b4f6abdce986be6,Israel Giron,"5' 8""",155 lbs.,,,1974-01-16
James,Zikic,The Messenger,http://ufcstats.com/fighter-details/4b4fc3ddc307bc73,James Zikic,"6' 2""",205 lbs.,,Orthodox,1977-03-01
Hector,Urbina,El Toro,http://ufcstats.com/fighter-details/4b8fb0453a596b8e,Hector Urbina,"5' 11""",170 lbs.,"73""",Orthodox,1987-09-17
Vince,Murdock,,http://ufcstats.com/fighter-details/4b90384d7c3519b8,Vince Murdock,"5' 6""",145 lbs.,"64""",Orthodox,1991-03-21
Michael,Chandler,Iron,http://ufcstats.com/fighter-details/4b93a88f3b1de35b,Michael Chandler,"5' 8""",155 lbs.,"71""",Orthodox,1986-04-24
Zak,Cummings,,http://ufcstats.com/fighter-details/4ba8d454f762005d,Zak Cummings,"6' 0""",205 lbs.,"75""",Southpaw,1984-08-02
Ty,Flores,Big Medicine,http://ufcstats.com/fighter-details/4bb0f74d5e26f89a,Ty Flores,"6' 3""",205 lbs.,"73""",Switch,1993-12-22
Craig,Oxley,,http://ufcstats.com/fighter-details/4bb9d7a32d02a03e,Craig Oxley,"5' 9""",155 lbs.,,,1973-02-14
Vitor,Miranda,Lex Luthor,http://ufcstats.com/fighter-details/4bcb6eb12b4ad4aa,Vitor Miranda,"6' 1""",185 lbs.,"77""",Orthodox,1979-03-10
Chas,Skelly,The Scrapper,http://ufcstats.com/fighter-details/4bd6b4800070b069,Chas Skelly,"5' 11""",145 lbs.,"72""",Orthodox,1985-05-11
Bolaji,Oki,The Zulu Warrior,http://ufcstats.com/fighter-details/4bdedbdeedff7d1d,Bolaji Oki,"5' 10""",155 lbs.,"73""",Orthodox,1995-11-15
Domingo,Pilarte,Son of Fire,http://ufcstats.com/fighter-details/4bf6b225ff6099c4,Domingo Pilarte,"6' 0""",135 lbs.,"73""",Southpaw,1990-01-05
